@_fa,affiliation-url,afid,affilname,affiliation-city,affiliation-country,entry_number
true,https://api.elsevier.com/content/affiliation/affiliation_id/60111308,60111308,Azienda Ospedaliera - Universitaria Città della Salute e della Scienza di Torino,Turin,Italy,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60029535,60029535,Azienda Ospedaliera Maggiore della Carita di Novara,Novara,Italy,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60019295,60019295,Karolinska Universitetssjukhuset,Stockholm,Sweden,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60017252,60017252,National Institute on Aging (NIA),Bethesda,United States,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60013780,60013780,National Institute of Neurological Disorders and Stroke,Bethesda,United States,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60012572,60012572,"Istituto Di Scienze E Tecnologie Della Cognizione, Rome",Rome,Italy,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60012259,60012259,Università degli Studi di Torino,Turin,Italy,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60006762,60006762,Uniformed Services University of the Health Sciences,Bethesda,United States,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60003668,60003668,Università degli Studi del Piemonte Orientale “Amedeo Avogadro”,Vercelli,Italy,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60001117,60001117,Johns Hopkins University School of Medicine,Baltimore,United States,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/125631745,125631745,Neuroscience Institute of Turin (NIT),Turin,Italy,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/122397639,122397639,Positron Emission Tomography Centre AFFIDEA-IRMET S.p.A,Turin,Italy,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60023004,60023004,University of Delaware,Newark,United States,2
true,https://api.elsevier.com/content/affiliation/affiliation_id/60017252,60017252,National Institute on Aging (NIA),Bethesda,United States,2
true,https://api.elsevier.com/content/affiliation/affiliation_id/60012957,60012957,University of Maryland School of Medicine,Baltimore,United States,2
true,https://api.elsevier.com/content/affiliation/affiliation_id/60017252,60017252,National Institute on Aging (NIA),Bethesda,United States,3
true,https://api.elsevier.com/content/affiliation/affiliation_id/60017252,60017252,National Institute on Aging (NIA),Bethesda,United States,4
true,https://api.elsevier.com/content/affiliation/affiliation_id/60009796,60009796,The Warren Alpert Medical School,Providence,United States,4
true,https://api.elsevier.com/content/affiliation/affiliation_id/60006433,60006433,Johns Hopkins Medicine,Baltimore,United States,4
true,https://api.elsevier.com/content/affiliation/affiliation_id/60006183,60006183,Johns Hopkins Bloomberg School of Public Health,Baltimore,United States,4
true,https://api.elsevier.com/content/affiliation/affiliation_id/60001117,60001117,Johns Hopkins University School of Medicine,Baltimore,United States,4
true,https://api.elsevier.com/content/affiliation/affiliation_id/60069652,60069652,Instituto de Fisiologia Celular de la UNAM,Mexico,Mexico,5
true,https://api.elsevier.com/content/affiliation/affiliation_id/60027806,60027806,Universidad Nacional Autónoma de México Facultad de Psicologia,Mexico,Mexico,5
true,https://api.elsevier.com/content/affiliation/affiliation_id/60017252,60017252,National Institute on Aging (NIA),Bethesda,United States,5
true,https://api.elsevier.com/content/affiliation/affiliation_id/60017252,60017252,National Institute on Aging (NIA),Bethesda,United States,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60113050,60113050,The Michael J. Fox Foundation for Parkinson‘s Research,New York,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60030612,60030612,"University of California, San Diego",La Jolla,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60030315,60030315,Hospital Clínic de Barcelona,Barcelona,Spain,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60030162,60030162,Columbia University,New York,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60029311,60029311,University of Southern California,Los Angeles,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60028901,60028901,Parkinson's Institute,Sunnyvale,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60027954,60027954,Beth Israel Medical Center,New York,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60027165,60027165,University of Rochester,Rochester,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60027086,60027086,The University of Alabama at Birmingham,Birmingham,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60025152,60025152,University of Cincinnati,Cincinnati,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60024746,60024746,University of Rochester Medical Center,Rochester,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60024609,60024609,Indiana University-Purdue University Indianapolis,Indianapolis,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60024324,60024324,University of Iowa,Iowa City,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60023924,60023924,Institute for Neurodegenerative Disorders,New Haven,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60023691,60023691,"University of California, San Francisco",San Francisco,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60021947,60021947,Indiana University School of Medicine,Indianapolis,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60021160,60021160,Cleveland Clinic Foundation,Cleveland,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60021110,60021110,Universitätsmedizin Göttingen,Gottingen,Germany,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60019674,60019674,Boston University,Boston,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60019544,60019544,Macquarie University,Sydney,Australia,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60017252,60017252,National Institute on Aging (NIA),Bethesda,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60017246,60017246,Eberhard Karls Universität Tübingen,Tubingen,Germany,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60016733,60016733,Oregon Health &amp; Science University,Portland,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60015642,60015642,Paracelsus- Elena- Klinik Kassel,Kassel,Germany,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60015622,60015622,Hôpital Universitaire Pitié Salpêtrière,Paris,France,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60015543,60015543,University of Pittsburgh,Pittsburgh,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60015481,60015481,University of Washington,Seattle,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60015150,60015150,Imperial College London,London,United Kingdom,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60013227,60013227,Northwestern University Feinberg School of Medicine,Chicago,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60012708,60012708,Stanford University,Stanford,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60011520,60011520,King's College London,London,United Kingdom,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60008870,60008870,Tel Aviv Sourasky Medical Center,Tel Aviv-Yafo,Israel,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60008222,60008222,Medizinische Universitat Innsbruck,Innsbruck,Austria,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60007740,60007740,"University of South Florida, Tampa",Tampa,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60007263,60007263,"Osakidetza, Donostia University Hospital",Donostia-San Sebastian,Spain,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60007061,60007061,Università degli Studi di Salerno,Salerno,Italy,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60006297,60006297,University of Pennsylvania,Philadelphia,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60005248,60005248,Johns Hopkins University,Baltimore,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60002441,60002441,Baylor College of Medicine,Houston,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60002339,60002339,Emory University School of Medicine,Atlanta,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/119540220,119540220,"BLACKFYNN, INC.",PHILADELPHIA,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/115364733,115364733,Banner Research Institute,Sun City,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/108518688,108518688,BioRep,Milan,Italy,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/105889067,105889067,Parkinson's Disease and Movement Disorders Center of Boca Raton,Boca Raton,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/105258730,105258730,Mount Sinai,New York,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60031970,60031970,UCSF School of Medicine,San Francisco,United States,8
true,https://api.elsevier.com/content/affiliation/affiliation_id/60023691,60023691,"University of California, San Francisco",San Francisco,United States,8
true,https://api.elsevier.com/content/affiliation/affiliation_id/60022195,60022195,Massachusetts Institute of Technology,Cambridge,United States,8
true,https://api.elsevier.com/content/affiliation/affiliation_id/60019356,60019356,Whitehead Institute,Cambridge,United States,8
