@_fa,affiliation-url,afid,affilname,affiliation-city,affiliation-country,entry_number
true,https://api.elsevier.com/content/affiliation/affiliation_id/60017252,60017252,National Institute on Aging (NIA),Bethesda,United States,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60014232,60014232,VA Medical Center,NA,United States,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60012957,60012957,University of Maryland School of Medicine,Baltimore,United States,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60003158,60003158,National Institute of Mental Health,Bethesda,United States,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60017252,60017252,National Institute on Aging (NIA),Bethesda,United States,2
true,https://api.elsevier.com/content/affiliation/affiliation_id/60012708,60012708,Stanford University,Stanford,United States,2
true,https://api.elsevier.com/content/affiliation/affiliation_id/60002494,60002494,Université McGill,Montreal,Canada,2
true,https://api.elsevier.com/content/affiliation/affiliation_id/129855060,129855060,Alexander T. Augusta Military Medical Center,Fort Belvoir,United States,2
true,https://api.elsevier.com/content/affiliation/affiliation_id/60017252,60017252,National Institute on Aging (NIA),Bethesda,United States,3
true,https://api.elsevier.com/content/affiliation/affiliation_id/60009389,60009389,Fox Chase Cancer Center,Philadelphia,United States,3
true,https://api.elsevier.com/content/affiliation/affiliation_id/60001117,60001117,Johns Hopkins University School of Medicine,Baltimore,United States,3
true,https://api.elsevier.com/content/affiliation/affiliation_id/60072478,60072478,California National Primate Research Center,Davis,United States,4
true,https://api.elsevier.com/content/affiliation/affiliation_id/60017252,60017252,National Institute on Aging (NIA),Bethesda,United States,4
true,https://api.elsevier.com/content/affiliation/affiliation_id/60113147,60113147,Duke University Medical Center,Durham,United States,5
true,https://api.elsevier.com/content/affiliation/affiliation_id/60111413,60111413,"Hong Kong University of Science and Technology, Shenzhen Research Institute",Shenzhen,China,5
true,https://api.elsevier.com/content/affiliation/affiliation_id/60102083,60102083,Shenzhen Institute of Advanced Technology,Shenzhen,China,5
true,https://api.elsevier.com/content/affiliation/affiliation_id/60097834,60097834,"Dent Neurologic Institute, Amherst",Amherst,United States,5
