@_fa,affiliation-url,afid,affilname,affiliation-city,affiliation-country,entry_number
true,https://api.elsevier.com/content/affiliation/affiliation_id/60121686,60121686,Department of Psychiatry,La Jolla,United States,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60079887,60079887,VA San Diego Healthcare System,San Diego,United States,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60018701,60018701,School of Public Health,Boston,United States,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60017252,60017252,National Institute on Aging (NIA),Bethesda,United States,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60006385,60006385,Boston University Chobanian &amp; Avedisian School of Medicine,Boston,United States,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60006183,60006183,Johns Hopkins Bloomberg School of Public Health,Baltimore,United States,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60005248,60005248,Johns Hopkins University,Baltimore,United States,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60017252,60017252,National Institute on Aging (NIA),Bethesda,United States,2
true,https://api.elsevier.com/content/affiliation/affiliation_id/60001117,60001117,Johns Hopkins University School of Medicine,Baltimore,United States,2
true,https://api.elsevier.com/content/affiliation/affiliation_id/114204760,114204760,Translational Gerontology Branch,Baltimore,United States,2
true,https://api.elsevier.com/content/affiliation/affiliation_id/60030840,60030840,Københavns Universitet,Copenhagen,Denmark,3
true,https://api.elsevier.com/content/affiliation/affiliation_id/60017743,60017743,Kræftens Bekæmpelse,Copenhagen,Denmark,3
true,https://api.elsevier.com/content/affiliation/affiliation_id/60017252,60017252,National Institute on Aging (NIA),Bethesda,United States,3
true,https://api.elsevier.com/content/affiliation/affiliation_id/60012311,60012311,Karolinska Institutet,Stockholm,Sweden,3
true,https://api.elsevier.com/content/affiliation/affiliation_id/60000945,60000945,Saint Louis University School of Medicine,St. Louis,United States,3
true,https://api.elsevier.com/content/affiliation/affiliation_id/60017252,60017252,National Institute on Aging (NIA),Bethesda,United States,4
true,https://api.elsevier.com/content/affiliation/affiliation_id/60017252,60017252,National Institute on Aging (NIA),Bethesda,United States,5
true,https://api.elsevier.com/content/affiliation/affiliation_id/60282642,60282642,Siebel School of Computing and Data Science,Urbana,United States,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60170145,60170145,MRC Centre for Neuropsychiatric Genetics and Genomics,Cardiff,United Kingdom,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60122497,60122497,Biodonostia Health Research Institute,Donostia-San Sebastian,Spain,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60109771,60109771,UCL Institute of Cognitive Neuroscience,London,United Kingdom,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60103683,60103683,Cardiff University School of Medicine,Cardiff,United Kingdom,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60103674,60103674,Deutsches Zentrum für Neurodegenerative Erkrankungen,Bonn,Germany,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60085102,60085102,Centro de Investigación Biomédica en Red de Enfermedades Neurodegenerativas,Madrid,Spain,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60084331,60084331,Hertie-Institut für klinische Hirnforschung,Tubingen,Germany,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60033267,60033267,Hospital Universitario Virgen del Rocío,Sevilla,Spain,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60030616,60030616,Institut-Hôpital Neurologique de Montréal,Montreal,Canada,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60028776,60028776,Gladstone Institute of Neurological Disease,San Francisco,United States,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60027245,60027245,Université Toulouse III - Paul Sabatier,Toulouse,France,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60023691,60023691,"University of California, San Francisco",San Francisco,United States,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60023020,60023020,Universitat Autònoma de Barcelona,Cerdanyola del Valles,Spain,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60022639,60022639,Hospital General de Segovia,Segovia,Spain,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60022148,60022148,University College London,London,United Kingdom,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60021435,60021435,Barts and The London School of Medicine and Dentistry,London,United Kingdom,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60020661,60020661,University of Liverpool,Liverpool,United Kingdom,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60019953,60019953,UCL Queen Square Institute of Neurology,London,United Kingdom,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60017252,60017252,National Institute on Aging (NIA),Bethesda,United States,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60017246,60017246,Eberhard Karls Universität Tübingen,Tubingen,Germany,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60016862,60016862,Hospital Universitario Central de Asturias,Oviedo,Spain,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60016332,60016332,King Faisal Specialist Hospital &amp; Research Centre,Riyadh,Saudi Arabia,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60015618,60015618,Leids Universitair Medisch Centrum,Leiden,Netherlands,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60015366,60015366,Mutua de Terrassa,Terrassa,Spain,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60013780,60013780,National Institute of Neurological Disorders and Stroke,Bethesda,United States,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60013227,60013227,Northwestern University Feinberg School of Medicine,Chicago,United States,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60012197,60012197,University of Reading,Reading,United Kingdom,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60008978,60008978,Texas Children's Hospital,Houston,United States,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60002494,60002494,Université McGill,Montreal,Canada,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60002441,60002441,Baylor College of Medicine,Houston,United States,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60001422,60001422,Sorbonne Université,Paris,France,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60000130,60000130,Universidad de Murcia,Murcia,Spain,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/118431800,118431800,Data Tecnica International,Glen Echo,United States,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/112608906,112608906,Parque Tecnológico de la Salud,Granada,Spain,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60029833,60029833,University of Oklahoma Health Sciences Center,Oklahoma City,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60025111,60025111,The University of North Carolina at Chapel Hill,Chapel Hill,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60017252,60017252,National Institute on Aging (NIA),Bethesda,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60012414,60012414,University of Oklahoma College of Medicine,Oklahoma City,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60007828,60007828,University of Kansas Medical Center,Kansas City,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60282642,60282642,Siebel School of Computing and Data Science,Urbana,United States,8
true,https://api.elsevier.com/content/affiliation/affiliation_id/60273737,60273737,Instituto de Investigación Sanitaria de la Fundación Jiménez Díaz,Madrid,Spain,8
true,https://api.elsevier.com/content/affiliation/affiliation_id/60170145,60170145,MRC Centre for Neuropsychiatric Genetics and Genomics,Cardiff,United Kingdom,8
true,https://api.elsevier.com/content/affiliation/affiliation_id/60122497,60122497,Biodonostia Health Research Institute,Donostia-San Sebastian,Spain,8
true,https://api.elsevier.com/content/affiliation/affiliation_id/60103683,60103683,Cardiff University School of Medicine,Cardiff,United Kingdom,8
true,https://api.elsevier.com/content/affiliation/affiliation_id/60103674,60103674,Deutsches Zentrum für Neurodegenerative Erkrankungen,Bonn,Germany,8
true,https://api.elsevier.com/content/affiliation/affiliation_id/60085102,60085102,Centro de Investigación Biomédica en Red de Enfermedades Neurodegenerativas,Madrid,Spain,8
true,https://api.elsevier.com/content/affiliation/affiliation_id/60084331,60084331,Hertie-Institut für klinische Hirnforschung,Tubingen,Germany,8
true,https://api.elsevier.com/content/affiliation/affiliation_id/60033267,60033267,Hospital Universitario Virgen del Rocío,Sevilla,Spain,8
true,https://api.elsevier.com/content/affiliation/affiliation_id/60030616,60030616,Institut-Hôpital Neurologique de Montréal,Montreal,Canada,8
true,https://api.elsevier.com/content/affiliation/affiliation_id/60030315,60030315,Hospital Clínic de Barcelona,Barcelona,Spain,8
true,https://api.elsevier.com/content/affiliation/affiliation_id/60028776,60028776,Gladstone Institute of Neurological Disease,San Francisco,United States,8
true,https://api.elsevier.com/content/affiliation/affiliation_id/60027844,60027844,Universidad de Granada,Granada,Spain,8
true,https://api.elsevier.com/content/affiliation/affiliation_id/60023691,60023691,"University of California, San Francisco",San Francisco,United States,8
true,https://api.elsevier.com/content/affiliation/affiliation_id/60023020,60023020,Universitat Autònoma de Barcelona,Cerdanyola del Valles,Spain,8
true,https://api.elsevier.com/content/affiliation/affiliation_id/60022639,60022639,Hospital General de Segovia,Segovia,Spain,8
true,https://api.elsevier.com/content/affiliation/affiliation_id/60022148,60022148,University College London,London,United Kingdom,8
true,https://api.elsevier.com/content/affiliation/affiliation_id/60021435,60021435,Barts and The London School of Medicine and Dentistry,London,United Kingdom,8
true,https://api.elsevier.com/content/affiliation/affiliation_id/60020661,60020661,University of Liverpool,Liverpool,United Kingdom,8
true,https://api.elsevier.com/content/affiliation/affiliation_id/60020591,60020591,Hospital Universitario Marqués de Valdecilla,Santander,Spain,8
true,https://api.elsevier.com/content/affiliation/affiliation_id/60019953,60019953,UCL Queen Square Institute of Neurology,London,United Kingdom,8
true,https://api.elsevier.com/content/affiliation/affiliation_id/60018826,60018826,Complejo Hospitalario Universitario de Granada,Granada,Spain,8
true,https://api.elsevier.com/content/affiliation/affiliation_id/60017252,60017252,National Institute on Aging (NIA),Bethesda,United States,8
true,https://api.elsevier.com/content/affiliation/affiliation_id/60017246,60017246,Eberhard Karls Universität Tübingen,Tubingen,Germany,8
true,https://api.elsevier.com/content/affiliation/affiliation_id/60016862,60016862,Hospital Universitario Central de Asturias,Oviedo,Spain,8
true,https://api.elsevier.com/content/affiliation/affiliation_id/60016332,60016332,King Faisal Specialist Hospital &amp; Research Centre,Riyadh,Saudi Arabia,8
true,https://api.elsevier.com/content/affiliation/affiliation_id/60015618,60015618,Leids Universitair Medisch Centrum,Leiden,Netherlands,8
true,https://api.elsevier.com/content/affiliation/affiliation_id/60015366,60015366,Mutua de Terrassa,Terrassa,Spain,8
true,https://api.elsevier.com/content/affiliation/affiliation_id/60013780,60013780,National Institute of Neurological Disorders and Stroke,Bethesda,United States,8
true,https://api.elsevier.com/content/affiliation/affiliation_id/60013227,60013227,Northwestern University Feinberg School of Medicine,Chicago,United States,8
